SZA_bin,RRMSD_cams,RRMSD_lsasaf,RRMSD_era,RRMSD_merra
0-10,27.139626086520323,30.623929980966984,36.98584043002092,38.22567357322401
10-20,26.664201860723498,28.271957986529262,31.787471107284265,34.10395050189117
20-30,22.83917793233053,24.767582013055197,30.62817592120599,33.0510008896876
30-40,23.278253720577265,25.543164254917013,27.560232321198036,30.33785994837433
40-50,20.679360899721782,23.310428077291185,25.707368654921908,28.428975290202054
50-60,22.071342925992248,25.19613854180525,27.38014767582659,32.304167299822055
60-70,27.59682387087599,31.268269099903407,32.54319906728855,35.87653206570407
70-80,33.505770278503725,37.934005061761624,34.542926876221514,40.881619968463866
