SZA_bin,RRMSD_cams,RRMSD_lsasaf,RRMSD_era,RRMSD_merra
0-10,23.27830728127836,33.929777593343005,37.057582368520805,34.44053103211998
10-20,26.193074858526188,35.14986106661256,38.59062978743419,37.690344368967786
20-30,30.603987039166324,35.623597468252264,43.33268523411743,41.79566603203241
30-40,31.597065680074586,32.638129606133425,43.04669694673759,42.574860578844735
40-50,31.007443855620824,34.842710867179775,46.09344341582972,44.66142456706655
50-60,33.236598309263925,39.88134154439247,52.719154409926915,48.88673273921968
60-70,23.77081338164448,31.07043087195685,45.65358053928608,45.67820997997995
70-80,38.783641961407646,49.6891540640895,55.94067276001413,51.22780151289963
