SZA_bin,RRMSD_cams,RRMSD_lsasaf,RRMSD_era,RRMSD_merra
0-10,20.88027836707557,18.305253476339736,19.918227706319023,21.5318208067586
10-20,20.04710854568976,17.705884824005587,17.693610334569588,19.8885258701229
20-30,18.479854916162072,16.761990700344175,17.169994848726073,18.84554523732413
30-40,16.261276529768352,14.388437376696702,16.486952895329676,17.068039878201194
40-50,18.450759847509083,16.165962271539776,16.485187657342905,17.745090472816106
50-60,23.33931565934083,19.307077614245365,20.148214094382006,21.669233486636223
60-70,30.34414942198465,21.976571989803624,20.86907346432481,24.483788608944955
70-80,46.714685842398026,31.283006258454492,25.73446988028188,32.54095189774452
