SZA_bin,RRMSD_cams,RRMSD_lsasaf,RRMSD_era,RRMSD_merra
0-10,11.180395546746459,12.918108484085975,24.110850910217003,26.53964608887764
10-20,12.190356540480668,14.923408025320006,24.120068951973842,31.47422543940401
20-30,13.03461659690015,15.606713189849334,24.657024420576935,33.66634802704226
30-40,13.658731732010136,16.823918175088995,23.869386027180063,34.86398961155744
40-50,16.03369180137533,17.192208235802255,23.128767103012464,36.46330853492454
50-60,19.020484098771025,18.19284791193144,24.435154783132088,40.25065377740327
60-70,28.25306130718413,23.17869871700736,26.160212311218565,46.10641813478058
70-80,43.529793865772284,30.254275908213025,28.269884170966797,60.2472232969279
