SZA_bin,RRMSD_cams,RRMSD_lsasaf,RRMSD_era,RRMSD_merra
0-10,22.511682260364026,24.279179943617283,27.51648790702759,26.860129999096948
10-20,22.236104009551656,24.263129903045737,24.491530460118824,25.005126762386716
20-30,22.918239540838993,24.971525005037147,26.44943572903805,25.748649918133854
30-40,21.726098104776366,21.453773714343445,24.99087293726475,24.78058387018163
40-50,27.200091671172572,26.415140268615172,26.869912245829227,27.30369549555115
50-60,30.519425135558247,26.97822376631044,28.191061020905554,29.424183651969514
60-70,35.17926677973086,28.550969664216975,32.48511944317819,34.67463338177953
70-80,42.86874885082587,37.137474769420805,39.69158323895989,50.32491171161716
