SZA_bin,RRMSD_cams,RRMSD_lsasaf,RRMSD_era,RRMSD_merra
0-10,39.33856230081123,29.22839749453583,25.55864961354168,21.2578718057943
10-20,39.146466585241065,27.47240498256756,25.457845058576396,21.135257965052592
20-30,35.772005971155735,22.988614818614263,23.538847656350033,17.7781429306237
30-40,32.59548457418595,19.703731491612853,21.533285255390528,15.774022209681974
40-50,32.89378107679336,19.503058254046397,22.144521310051545,18.027092019760005
50-60,39.1429371316207,20.152779538272746,23.81260367566941,20.306276480157837
60-70,46.404765328544634,23.410495797688025,26.69335729603602,23.128701841300874
70-80,56.96205855725557,33.68180122854019,32.15355736938093,32.284320618850415
