SZA_bin,RRMSD_cams,RRMSD_lsasaf,RRMSD_era,RRMSD_merra
0-10,25.98921869162652,28.566980713729407,35.44931284870012,48.38080966816175
10-20,26.421890475532994,29.204678949283032,34.810023337898905,44.55434551438417
20-30,29.048209386395836,30.617681365120024,37.235134120652845,47.010000298250496
30-40,28.45810591702362,29.908804617049018,38.26967392921561,47.10781823997514
40-50,27.52091148399091,29.440163191148365,37.18282414511157,45.79623348053684
50-60,28.72203198618229,29.936069989424464,37.96714318017798,47.34536029136295
60-70,39.02905733923087,41.0278321551562,46.85793568287057,55.51657534240759
70-80,67.11365716348446,68.52658177673662,68.7868669975615,79.56961090385535
