SZA_bin,RRMSD_cams,RRMSD_lsasaf,RRMSD_era,RRMSD_merra
0-10,20.53475770179132,22.57067489840219,52.566905519991316,37.21828497327413
10-20,19.39480787935511,21.112293667236855,54.833771504281124,43.56085174734871
20-30,18.693738897468087,20.05355826108712,51.477979387516534,40.48006967789668
30-40,19.824283525160006,20.586710200300974,51.93676656743271,42.23460006482264
40-50,21.559952224511285,21.286007135143265,57.62667634231373,51.412077045596064
50-60,24.918274950195485,25.27443467899948,63.057233280719416,54.58491884265511
60-70,34.19820111727929,33.83958684316111,69.8199844333092,65.72012059083033
70-80,48.530473311763515,45.40995096159242,73.0626975241814,73.7359561400044
