SZA_bin,RRMSD_cams,RRMSD_lsasaf,RRMSD_era,RRMSD_merra
0-10,15.917421406589174,23.6469912569235,23.67929593087615,27.42749885647137
10-20,15.10669605633158,21.232183933571573,21.183242097357432,24.93480514166319
20-30,16.178584383589115,22.47893759567939,23.318211950536437,30.284252299637743
30-40,15.722537925926252,21.20182936367387,24.96592504527974,33.172721953323524
40-50,15.735663521036972,21.192636783070835,25.368151691153134,32.48691017790662
50-60,19.29731454370018,23.775750946227912,28.53064050835758,36.22839505657857
60-70,21.89911955477499,25.064934608579257,31.525553802777385,38.51323022730129
70-80,28.32346927440186,33.01897674209358,34.21139467603162,42.752514469410556
