year,cams,lsasaf
2018,22.298492948531347,18.322339224489532
2019,25.913754193030137,22.449800032324173
2021,27.02489875177862,24.051879978225266
2022,25.668414213624246,22.287162535980784
2023,24.078744403133186,21.36775254515399
