SZA_bin,RRMSD_cams,RRMSD_lsasaf,RRMSD_era,RRMSD_merra
0-10,28.162918959603367,34.42174240659529,34.5956085648325,55.83360956785659
10-20,26.3115475823096,32.32394064797237,32.67784435480767,52.627803401473415
20-30,24.861157905477334,30.871496920430946,32.10517264849887,52.64457615626967
30-40,23.217220043100127,29.132254295452604,32.519732531270186,56.991732943643555
40-50,25.118886622293772,30.421076571196455,34.13077787407591,58.00655596046773
50-60,27.798241482554502,33.09240558357202,37.62963743310455,64.90247203301534
60-70,35.463786376773456,40.373133770631696,42.228516948926625,77.48398830286119
70-80,48.33708532915375,51.843288182431145,49.200214451368346,96.98032060581338
