SZA_bin,RRMSD_cams,RRMSD_lsasaf,RRMSD_era,RRMSD_merra
0-10,22.271866395594127,23.311458631497768,26.476023369174257,25.438192204912806
10-20,21.47750811348264,23.104000004125503,24.460579350207258,24.39920629475301
20-30,22.33193924707898,24.435839799106116,26.584715892724265,25.977428993126168
30-40,21.14206887056744,21.00885777027547,24.866506435508416,24.921970248110437
40-50,28.52207917884127,28.285465914948706,28.18946415830758,29.294182894766017
50-60,30.81561011487823,28.192587785450822,28.90459395075734,30.651337661004934
60-70,36.50123916688998,30.598729856894153,33.0558537079622,35.33977170516739
70-80,42.33910775740771,37.08615120938563,38.54906920585139,50.34148949529257
