SZA_bin,RRMSD_cams,RRMSD_lsasaf
0-10,15.19630714797104,16.967861905657838
10-20,15.499387445363775,17.61536863811926
20-30,17.000807563099247,19.56329682750855
30-40,16.83516262936218,19.6072270919582
40-50,18.93704551234217,19.959129955013612
50-60,21.225165790627152,20.99874579660404
60-70,32.157503178295165,26.280019640909046
70-80,50.22496211212199,35.015207076071356
